timestamp,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad,quat_rel_x,quat_rel_y,quat_rel_z,quat_rel_w
1763250276.6205854,-0.006208,-0.007898,-0.002047,-0.003369,0.004519,-0.002087,-0.033691,-0.033229499999999995,-0.005866999999999956,0.03375631899617064,0.035411530010397214,0.01633964921685476,0.019446606652157007,0.9990499831817771
1763250276.6529248,-0.008081,-0.005393,-0.006186,-0.002262,0.006059,7.7e-05,-0.033429,-0.0335565,-0.005885000000000029,0.033494043600075726,0.035304375638029,0.016224750614137744,0.019609136739227942,0.9990524712369518
1763250276.685264,-0.00492,-0.003889,-0.005222,-0.002428,0.004984,0.000227,-0.033225,-0.03385149999999999,-0.005902999999999992,0.03328984535958313,0.035151974255806476,0.01614314486844666,0.01975156264603624,0.9990563614495006
1763250276.7176037,0.001236,-0.000383,-0.001415,-0.001909,0.005091,0.000369,-0.033111,-0.0339715,-0.005909000000000053,0.03317573805976097,0.03503365779696819,0.016101532567703674,0.0198063487465764,0.9990601043078766
1763250276.7499433,0.003322,-0.0113,-0.000843,-0.002741,0.004604,-0.001884,-0.032874,-0.0337615,-0.005878999999999968,0.03293849465818951,0.03499759343276936,0.015982465715305316,0.019702835026129045,0.9990653269609084
1763250276.7822826,0.001365,-0.003739,0.006606,-0.002703,0.005575,-0.001884,-0.032721,-0.03355849999999999,-0.005852999999999997,0.03278531840603511,0.035052788961151694,0.015896195550142673,0.019606986691949276,0.9990666539455405
1763250276.814622,0.002781,0.000544,0.008581,-0.002932,0.003619,5.7e-05,-0.032726,-0.033423499999999995,-0.005840999999999985,0.03279033141254207,0.03517577424332028,0.015882564789345806,0.01954713097146738,0.9990637210473012
1763250276.8469615,0.000534,0.002357,0.007046,-0.00244,0.004328,-0.000558,-0.032679,-0.03336649999999999,-0.005834000000000006,0.03274330044674485,0.035331425714576994,0.01584080715675054,0.019529558925360874,0.9990592352377206
1763250276.879301,0.000898,0.000746,0.004317,-0.002178,0.004524,-0.000647,-0.032689,-0.03344649999999999,-0.005842000000000014,0.03275331929321894,0.03542484987987488,0.015837080402384518,0.019575358759180997,0.9990550896846311
1763250276.9116404,0.001262,-0.000865,0.001589,-0.001916,0.00472,-0.000737,-0.032699,-0.0335265,-0.005848999999999993,0.032763293056708505,0.03551734740844123,0.015833439416079065,0.01962116888101634,0.9990509646464829
1763250276.9439797,0.002786,6.7e-05,0.00215,-0.002613,0.005139,-0.00089,-0.032667,-0.033452499999999996,-0.005840999999999985,0.03273127174272079,0.03555927826712589,0.015810947767125723,0.01958764200196326,0.9990504871830199
1763250276.9763193,0.003567,0.001822,0.004912,-0.001963,0.005822,-0.00011,-0.032847,-0.0332615,-0.005831999999999948,0.032911473659047744,0.03566425486270982,0.015886936081845295,0.019495613607068026,0.9990473398378592
1763250277.008659,0.001197,0.002662,0.005119,-0.001394,0.003963,-0.000413,-0.032984,-0.0331535,-0.005827999999999944,0.033048601469292616,0.035785233549366476,0.01594096347008356,0.019445669487942886,0.9990431265374026
1763250277.0409982,-0.002023,0.003702,0.001516,-0.00161,0.004047,-0.001498,-0.033162,-0.0331675,-0.005836999999999981,0.033226766572596274,0.03587943851034243,0.01602014188873258,0.019455599366293777,0.9990382878545475
1763250277.0733376,0.000371,0.004532,0.001084,-0.001847,0.004534,-0.001867,-0.03342,-0.033244499999999996,-0.005855999999999972,0.033485038728389746,0.03589861145327904,0.016149439728782532,0.019490971779827424,0.9990348278770119
1763250277.1056771,0.004323,0.005965,0.00032,-0.001857,0.004672,-0.001405,-0.033693,-0.03316949999999999,-0.005862000000000034,0.03375834049232265,0.03591309497601949,0.016284199902239678,0.01944912431678187,0.9990329353960747
1763250277.1380167,0.005917,0.002945,0.003722,-0.001894,0.005186,0.000324,-0.034029000000000004,-0.0328765,-0.005848999999999993,0.0340946304314191,0.036003114916219325,0.01643814442090866,0.01930203916815479,0.9990300267801153
1763250277.170356,0.001502,0.000137,0.006153,-0.00288,0.004845,-0.002581,-0.034169,-0.0326405,-0.005834000000000006,0.03423479521795946,0.036148242214030325,0.016488096539829626,0.019189862954185195,0.9990261239913242
1763250277.2026954,0.001555,0.003265,0.004279,-0.001398,0.00322,-0.000704,-0.034435,-0.03258549999999999,-0.005839999999999956,0.0345010240214474,0.03631342689891888,0.016603377541902675,0.019167213043809906,0.9990186588974158
