quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.0852,0.090642,-0.197722,0.972333,0.002277,0.001815,-0.014445,0.00207,0.000943,0.000442,0.142576,0.20153,-0.96905,0.14306411122046556
-0.085181,0.090636,-0.197805,0.972318,0.002214,0.003403,-0.017537,0.002929,-0.000124,-0.000124,0.142557,0.201503,-0.969058,0.14304288067047394
-0.085147,0.090748,-0.198177,0.972235,0.002068,0.011735,-0.026164,0.004383,0.002178,-0.000105,0.142708,0.201533,-0.96903,0.1431972958801201
-0.085152,0.0908,-0.198364,0.972191,-0.000431,0.010232,-0.025507,0.004015,0.003298,8.9e-05,0.142769,0.20159,-0.969009,0.1432572027181998
-0.085157,0.090853,-0.19855,0.972148,-0.002931,0.008729,-0.024849,0.003646,0.004419,0.000282,0.142829,0.201647,-0.968988,0.14331941714923432
-0.085232,0.090895,-0.198914,0.972063,0.00025,-0.01148,-0.017806,0.002407,0.005384,0.002546,0.142803,0.201862,-0.968947,0.143293528657185
-0.085249,0.090848,-0.198976,0.972053,-0.000272,-0.010564,-0.009216,0.003228,0.006673,0.000252,0.142693,0.201887,-0.968958,0.14318186022774537
-0.085271,0.090799,-0.19901,0.972049,0.00303,-0.012806,-0.003436,0.002408,0.004358,0.000525,0.142582,0.201915,-0.968969,0.14307017730559268
-0.085292,0.09075,-0.199045,0.972045,0.006332,-0.015048,0.002343,0.001589,0.002043,0.000799,0.142471,0.201943,-0.968979,0.1429587237981868
-0.085214,0.09052,-0.199021,0.972078,0.017374,-0.01752,0.001358,0.00166,0.001805,0.002606,0.142066,0.201699,-0.96909,0.14254852617430497
-0.085172,0.090374,-0.198993,0.972101,0.014683,-0.017963,0.003318,0.001495,0.002808,0.001379,0.141807,0.201559,-0.969157,0.1422876831370228
-0.085131,0.090227,-0.198964,0.972124,0.011991,-0.018407,0.005278,0.001331,0.003811,0.000151,0.141548,0.20142,-0.969224,0.14202463751907815
-0.085049,0.089972,-0.198856,0.972177,0.009776,-0.020874,0.005211,0.002203,0.001382,-0.000755,0.141112,0.201148,-0.969344,0.14158497892989694
-0.08502,0.089867,-0.198791,0.972202,0.011866,-0.020834,0.007545,0.002001,0.001143,-0.0016,0.140935,0.201043,-0.969391,0.1414061138147043
-0.084991,0.089762,-0.198727,0.972228,0.013956,-0.020793,0.009879,0.0018,0.000904,-0.002445,0.140758,0.200938,-0.969439,0.14122724467030276
-0.084876,0.089389,-0.198525,0.972313,0.015815,-0.031345,0.012644,-0.000989,-0.001424,0.000517,0.140129,0.200545,-0.969611,0.14059084832341032
-0.084838,0.089219,-0.198453,0.972347,0.017013,-0.04015,0.011921,-0.001886,-0.001477,0.002738,0.13983,0.200396,-0.969685,0.14029067800780343
-0.084764,0.088989,-0.198264,0.972413,0.00619,-0.014357,0.01294,0.00128,-0.002573,-0.003872,0.139457,0.200137,-0.969792,0.13991285477834092
-0.084767,0.088948,-0.198036,0.972463,-0.009891,0.006469,0.008057,-0.000243,-0.003446,-0.004712,0.139424,0.200095,-0.969806,0.13987914656808875
-0.084829,0.088975,-0.198044,0.972454,-0.012318,-0.000196,-0.005243,-0.004267,-0.004005,-0.001815,0.139449,0.200226,-0.969775,0.13990439090162748
-0.084962,0.088931,-0.198161,0.972422,-0.016548,-0.010432,-0.01698,-0.005038,-0.0014,-0.001035,0.139284,0.200483,-0.969746,0.13973894797361588
-0.085095,0.088886,-0.198278,0.972391,-0.020779,-0.020669,-0.028716,-0.005809,0.001206,-0.000255,0.139119,0.20074,-0.969716,0.13957166736760324
