quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.051166,0.063413,-0.035891,0.996028,0.153403,0.012667,0.135404,-0.004801,0.022299,-0.001583,0.12265,0.106478,-0.986722
-0.050507,0.063471,-0.03528,0.99608,0.146718,0.011257,0.135147,-0.003936,0.024196,-0.002945,0.122881,0.105097,-0.986841
-0.04893,0.063795,-0.033518,0.996199,0.092424,0.020812,0.111802,-0.003912,0.023505,-0.001411,0.123825,0.101764,-0.987072
-0.048241,0.064171,-0.031886,0.996262,0.026902,0.023606,0.094967,-0.006769,0.020069,0.004804,0.124786,0.100214,-0.98711
-0.048206,0.06421,-0.031309,0.99628,0.020081,-0.00072,0.079027,-0.008405,0.01864,0.007466,0.124924,0.100073,-0.987107
-0.048246,0.064151,-0.030826,0.996296,0.008969,-0.008408,0.080592,-0.005236,0.020086,0.007939,0.124853,0.100089,-0.987114
-0.048552,0.063958,-0.029348,0.996339,-0.010717,-0.012219,0.106337,-0.000857,0.019271,0.000955,0.124597,0.100502,-0.987104
-0.048668,0.063851,-0.028655,0.99636,-0.002208,-0.012178,0.104876,0.001389,0.019009,-0.00468,0.124448,0.100642,-0.987109
-0.048721,0.063871,-0.027966,0.996376,-0.003421,0.008953,0.106665,0.005099,0.02123,-0.007936,0.124554,0.100661,-0.987094
-0.048955,0.064334,-0.026222,0.996382,-0.011413,0.056068,0.115759,0.009883,0.025104,-0.008829,0.125636,0.100929,-0.986929
-0.049086,0.065125,-0.025122,0.996352,0.002412,0.066369,0.108502,0.01133,0.016452,-0.004423,0.127308,0.101085,-0.986699
-0.049217,0.065915,-0.024021,0.996321,0.016238,0.076671,0.101245,0.012776,0.007803,-1.9e-05,0.12898,0.101238,-0.986466
-0.049098,0.066549,-0.023477,0.996298,0.028732,0.092758,0.084905,0.014742,0.006414,-0.005394,0.1303,0.100957,-0.986321
-0.048578,0.068042,-0.022582,0.996243,0.065305,0.113302,0.056555,0.017807,0.005972,-0.008413,0.133379,0.099865,-0.986021
-0.048198,0.068887,-0.022332,0.996209,0.066541,0.124564,0.046845,0.016216,0.008928,-0.005536,0.135099,0.099107,-0.985863
-0.04777,0.069747,-0.022151,0.996174,0.071833,0.125968,0.039085,0.017342,0.010569,-0.001846,0.136843,0.098264,-0.985707
-0.046645,0.071845,-0.021831,0.996085,0.071943,0.116675,0.023706,0.019769,0.013783,0.002793,0.14109,0.096061,-0.985325
-0.046393,0.072379,-0.021754,0.99606,0.063967,0.113031,0.026296,0.018954,0.014048,0.008104,0.142169,0.095569,-0.985218
-0.046141,0.072913,-0.021676,0.996035,0.055991,0.109387,0.028886,0.018138,0.014314,0.013415,0.143248,0.095077,-0.985109
-0.045342,0.074385,-0.02135,0.99597,0.053061,0.073153,0.020378,0.022873,0.008764,0.006897,0.146235,0.093495,-0.984822
-0.044619,0.075433,-0.021301,0.995924,0.050076,0.038845,0.006882,0.028121,0.008117,0.009018,0.14835,0.092088,-0.984638
-0.044391,0.075752,-0.021265,0.995911,0.03372,0.047291,0.018384,0.02732,0.008893,0.002601,0.148997,0.091641,-0.984582
-0.043957,0.075946,-0.021241,0.995916,0.051159,0.015512,0.009873,0.023511,0.007234,0.004595,0.149405,0.090781,-0.9846
-0.043523,0.07614,-0.021217,0.995921,0.068599,-0.016266,0.001361,0.019703,0.005576,0.006588,0.149812,0.089922,-0.984617
-0.042904,0.076004,-0.021193,0.995959,0.080274,-0.029719,0.006706,0.016291,0.006054,0.006631,0.149575,0.088684,-0.984765
-0.042286,0.075868,-0.021169,0.995996,0.091949,-0.043171,0.01205,0.01288,0.006532,0.006672,0.149338,0.087445,-0.984912
-0.040669,0.075309,-0.02112,0.996107,0.125022,-0.054797,0.006987,0.00704,0.002275,0.001168,0.148313,0.084202,-0.985349
-0.040049,0.075136,-0.021124,0.996145,0.136355,-0.052561,0.005194,0.005035,0.004163,0.001961,0.148001,0.082964,-0.985501
-0.03943,0.074963,-0.021129,0.996182,0.147689,-0.050324,0.003401,0.003031,0.006052,0.002753,0.147687,0.081727,-0.985652
-0.037851,0.074573,-0.021249,0.99627,0.137528,-0.045455,0.007669,-0.000598,0.013346,0.002968,0.146981,0.07859,-0.986012
-0.036273,0.074182,-0.021368,0.996356,0.127368,-0.040586,0.011937,-0.004227,0.020642,0.003172,0.146273,0.075451,-0.986363
-0.034218,0.073653,-0.021137,0.996473,0.078176,-0.014371,0.049112,-0.003602,0.026834,-0.008049,0.14534,0.071308,-0.986809
-0.033791,0.073628,-0.020764,0.996497,0.052901,0.007275,0.068617,-0.001442,0.02357,-0.010001,0.145338,0.070402,-0.986874
-0.033549,0.073753,-0.020283,0.996506,0.042846,0.020557,0.077317,-0.002925,0.017041,-0.00857,0.14563,0.069855,-0.98687
-0.033102,0.074198,-0.018997,0.996513,0.035776,0.037262,0.083473,-0.003025,0.001649,-0.006378,0.146622,0.068792,-0.986798
-0.032914,0.074427,-0.018529,0.996511,0.036464,0.036067,0.07709,-0.001075,0.000508,-0.003683,0.147116,0.068356,-0.986754
-0.032704,0.074646,-0.018127,0.996509,0.041821,0.039568,0.065529,0.000817,-0.002524,-0.005106,0.147584,0.067887,-0.986717
-0.032017,0.075373,-0.017397,0.996489,0.055307,0.058558,0.027666,0.001592,-0.006842,-0.005372,0.149104,0.066431,-0.986588
-0.031599,0.075769,-0.017327,0.996474,0.063516,0.054828,0.014573,0.000495,-0.004462,-0.002751,0.14991,0.065601,-0.986521
-0.031092,0.076138,-0.017372,0.996461,0.063307,0.052844,0.00836,0.000692,-0.002112,-0.002284,0.150656,0.064609,-0.986473
-0.030584,0.076506,-0.017417,0.996448,0.063097,0.050861,0.002147,0.000889,0.000237,-0.001818,0.151403,0.063617,-0.986423
-0.029509,0.077261,-0.017545,0.99642,0.059659,0.043112,-0.007933,0.001655,0.006441,-0.002828,0.152932,0.061518,-0.98632
-0.029128,0.077576,-0.017641,0.996405,0.052598,0.044274,-0.012073,0.000523,0.005126,-0.00296,0.153567,0.060784,-0.986267
-0.028337,0.078244,-0.018014,0.996369,0.055356,0.046641,-0.028331,0.001412,0.001651,0.000135,0.154899,0.059287,-0.98615
-0.02794,0.078541,-0.018322,0.996351,0.064793,0.041454,-0.050456,0.001694,0.004658,2.8e-05,0.155486,0.058555,-0.986101
-0.027599,0.078763,-0.0187,0.996336,0.065878,0.040101,-0.054958,0.002142,0.006786,0.001118,0.155917,0.057941,-0.986069
-0.026643,0.079246,-0.019697,0.996304,0.082781,0.027792,-0.06422,0.003155,0.008413,-0.002034,0.156856,0.056211,-0.986021
-0.025638,0.079674,-0.020565,0.996279,0.108578,0.036909,-0.062263,0.002168,0.005114,0.000691,0.1577,0.054362,-0.98599
-0.024717,0.079962,-0.021181,0.996266,0.129182,0.033057,-0.064854,0.00037,0.00383,0.002021,0.158281,0.052637,-0.98599
-0.023796,0.080251,-0.021797,0.996252,0.149786,0.029205,-0.067446,-0.001431,0.002545,0.003348,0.158863,0.050913,-0.985987
-0.022326,0.08043,-0.022391,0.996259,0.153208,0.029084,-0.049204,0.001278,0.008854,-0.001116,0.159258,0.048086,-0.986065
-0.020855,0.080608,-0.022984,0.996263,0.15663,0.028963,-0.030962,0.003983,0.015164,-0.005589,0.159655,0.04526,-0.986135
-0.019865,0.080843,-0.023256,0.996257,0.127761,0.033901,-0.015141,0.003844,0.021437,-0.002887,0.160156,0.043342,-0.98614
-0.018323,0.081242,-0.023384,0.996251,0.044881,0.013581,0.02562,-0.001307,0.022717,0.004782,0.161019,0.040308,-0.986128
-0.018417,0.081101,-0.023271,0.996264,0.006841,-0.007555,0.019076,0.00043,0.019396,0.003457,0.160738,0.040471,-0.986167
-0.018511,0.080959,-0.023159,0.996276,-0.031199,-0.028691,0.012533,0.002167,0.016075,0.002132,0.160458,0.040634,-0.986206
-0.018605,0.080817,-0.023047,0.996289,-0.069239,-0.049828,0.00599,0.003904,0.012753,0.000807,0.160178,0.040796,-0.986245
-0.020852,0.07993,-0.02288,0.99632,-0.18004,-0.059519,-0.005087,0.005166,0.002732,-0.006611,0.158318,0.045208,-0.986353
-0.024323,0.078976,-0.022759,0.99632,-0.224868,-0.081824,-0.017392,0.001003,-0.007618,0.002854,0.156264,0.052063,-0.986342
-0.025959,0.07835,-0.022781,0.996327,-0.229409,-0.093598,-0.022415,0.001831,-0.007881,-0.006833,0.154942,0.055296,-0.986375
-0.027449,0.077815,-0.022783,0.99633,-0.228303,-0.094878,-0.018933,0.001006,-0.006793,-0.010608,0.153807,0.058243,-0.986383
-0.031002,0.076656,-0.022657,0.996318,-0.221813,-0.065197,-0.0041,0.001419,-0.01295,-0.000841,0.151343,0.06525,-0.986325
-0.032359,0.07608,-0.022585,0.996321,-0.195526,-0.096886,-0.010934,-0.005089,-0.011779,0.001934,0.150138,0.067916,-0.98633
-0.033542,0.075453,-0.02261,0.996329,-0.18304,-0.093693,-0.024386,-0.002439,-0.008143,-0.003881,0.148835,0.070249,-0.986364
-0.036319,0.074073,-0.022856,0.996329,-0.170044,-0.077867,-0.034571,-0.001732,0.001181,-0.000822,0.145941,0.075757,-0.986388
-0.037342,0.073675,-0.022955,0.996319,-0.165573,-0.070948,-0.031534,-0.004251,0.000616,0.001066,0.145094,0.077792,-0.986355
-0.039473,0.072638,-0.023256,0.996306,-0.125629,-0.071929,-0.038358,-0.009385,0.000935,0.000622,0.142903,0.082032,-0.986331
-0.040264,0.07217,-0.023428,0.996304,-0.102544,-0.070579,-0.035847,-0.0089,0.003292,-0.001838,0.141919,0.083612,-0.986341
-0.040871,0.071725,-0.023574,0.996308,-0.090142,-0.066835,-0.029175,-0.009383,0.00764,-0.001944,0.140993,0.084822,-0.98637
-0.042252,0.070745,-0.023717,0.996317,-0.08171,-0.053027,-0.002516,-0.007552,0.013204,0.001307,0.138965,0.087549,-0.98642
-0.042844,0.070299,-0.023638,0.996325,-0.080642,-0.048967,0.003823,-0.00517,0.011581,0.000426,0.138055,0.088696,-0.986445
-0.043435,0.069852,-0.023558,0.996333,-0.079573,-0.044907,0.010162,-0.002788,0.009958,-0.000457,0.137145,0.089843,-0.986468
-0.043978,0.069523,-0.023431,0.996335,-0.064397,-0.040981,0.009061,-0.002069,0.006717,-9.9e-05,0.136475,0.090892,-0.986465
-0.044521,0.069194,-0.023303,0.996337,-0.049221,-0.037056,0.007959,-0.001351,0.003475,0.000256,0.135806,0.09194,-0.98646
-0.045269,0.068576,-0.023058,0.996351,-0.021505,-0.023028,0.013111,-0.001271,0.001545,-0.003396,0.134565,0.093371,-0.986496
-0.045436,0.068448,-0.022958,0.996355,-0.014005,-0.022459,0.013251,-0.002719,0.005097,-0.000844,0.134312,0.093684,-0.986501
-0.045522,0.068305,-0.022858,0.996363,-0.011957,-0.02025,0.012529,-0.000627,0.006494,-0.002415,0.134033,0.093836,-0.986524
-0.04571,0.068101,-0.022661,0.996373,-0.012918,-0.001311,0.011443,0.001974,0.006373,-0.005227,0.133636,0.094174,-0.986546
-0.045809,0.068129,-0.022573,0.996369,-0.011965,0.001429,0.002672,0.000105,0.003436,-1e-06,0.133694,0.094362,-0.98652
-0.0459,0.068103,-0.022569,0.996366,-0.00949,-0.002648,-0.002112,-0.000133,0.003602,0.001718,0.133638,0.09454,-0.98651
-0.046113,0.067997,-0.022648,0.996362,-0.010484,-0.005149,-0.009548,-0.000397,0.005187,0.000412,0.13341,0.094971,-0.9865
-0.046197,0.067974,-0.02272,0.996358,-0.007603,-0.00518,-0.01018,0.001036,0.004249,-0.001699,0.133353,0.095147,-0.986491
-0.046333,0.06795,-0.022835,0.996351,-0.004109,-0.000607,-0.006019,-0.003054,0.003203,-0.000285,0.133288,0.095431,-0.986472
-0.046345,0.067946,-0.022886,0.996349,0.003295,0.001767,-0.004069,-0.002775,0.003112,-0.002101,0.133275,0.095461,-0.986471
