quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.043415,0.058077,-0.212958,0.974367,-0.046545,0.043298,0.019318,0.007202,0.002164,-0.002501,0.094685,0.109341,-0.989484
-0.044048,0.058905,-0.212704,0.974344,-0.04408,0.029966,-0.000405,0.002862,-0.006054,0.002477,0.096049,0.110894,-0.98918
-0.044253,0.059113,-0.212752,0.974312,-0.028395,0.018708,-0.012918,0.003929,-0.006406,-0.000244,0.096358,0.111386,-0.989095
-0.044337,0.059246,-0.21289,0.97427,-0.013822,0.015972,-0.019349,0.003969,-0.005624,-0.001547,0.096565,0.111617,-0.989048
-0.044304,0.059513,-0.213307,0.974164,0.011369,0.011199,-0.024958,0.003062,-0.001146,-0.000172,0.097051,0.111708,-0.988991
-0.044184,0.059544,-0.213491,0.974127,0.016134,0.002939,-0.02107,1.9e-05,0.003679,-0.00088,0.097142,0.111506,-0.989004
-0.044055,0.05955,-0.213588,0.974111,0.010037,0.002025,-0.010728,-0.00038,0.006963,-0.001105,0.097198,0.111268,-0.989026
-0.043867,0.059577,-0.213612,0.974113,-0.00333,-0.004565,0.007959,0.000944,0.008263,-0.000267,0.097328,0.110916,-0.989053
-0.043877,0.059602,-0.213559,0.974123,-0.005389,-0.002882,0.006603,0.001895,0.00695,-5.6e-05,0.097378,0.11094,-0.989045
-0.044027,0.059561,-0.213451,0.974142,-0.006045,-0.005145,0.006203,-2e-06,0.005825,-0.000291,0.097247,0.111205,-0.989028
-0.044129,0.059535,-0.213412,0.974148,0.001909,-0.006616,0.006361,0.000741,0.005577,-0.000164,0.097156,0.111388,-0.989016
-0.044147,0.059454,-0.213408,0.974153,0.012691,-0.010114,0.002739,0.000448,0.00428,-0.000592,0.096992,0.111388,-0.989033
-0.04395,0.059349,-0.213357,0.974179,0.03254,-0.00137,0.004822,0.000621,0.001,-0.002752,0.09688,0.110955,-0.989092
-0.043694,0.059319,-0.213336,0.974197,0.043418,-0.001682,0.005445,-0.000405,0.000237,-0.002872,0.096934,0.110442,-0.989144
-0.04335,0.059253,-0.213377,0.974207,0.04821,0.003647,0.001553,0.001511,0.001197,-0.003162,0.096949,0.10975,-0.98922
-0.042721,0.059136,-0.213415,0.974234,0.039818,-0.008749,-0.001351,-0.001529,0.003161,0.003105,0.09699,0.108481,-0.989356
-0.042552,0.058976,-0.213438,0.974246,0.029855,-0.017969,0.000365,-0.001178,0.004401,0.003397,0.096749,0.108088,-0.989422
-0.042383,0.058815,-0.21346,0.974258,0.019892,-0.027189,0.00208,-0.000826,0.00564,0.003688,0.096508,0.107694,-0.989489
-0.042349,0.058464,-0.213291,0.974318,-0.003187,-0.012452,0.019895,0.000564,0.00431,-0.001527,0.09586,0.107462,-0.989577
-0.042427,0.058435,-0.21311,0.974356,-0.006138,-0.008226,0.019156,-0.000448,0.002746,-0.001013,0.095789,0.107584,-0.989571
-0.042505,0.058405,-0.212929,0.974394,-0.009088,-0.004,0.018417,-0.001459,0.001182,-0.000499,0.095718,0.107706,-0.989564
-0.042796,0.058436,-0.212706,0.974428,-0.01806,-0.013235,0.001767,-0.00267,0.003221,0.003626,0.095678,0.108264,-0.989507
-0.043006,0.058293,-0.21277,0.974413,-0.021145,-0.018903,-0.004868,-0.002199,0.005491,0.002688,0.095303,0.108616,-0.989505
-0.043215,0.05815,-0.212833,0.974399,-0.02423,-0.024572,-0.011503,-0.001728,0.00776,0.00175,0.094928,0.108969,-0.989502
-0.043679,0.057885,-0.212987,0.97436,-0.020641,-0.023666,-0.016716,-0.003915,0.008955,0.000681,0.094195,0.109776,-0.989483
-0.04385,0.057698,-0.213107,0.974337,-0.012721,-0.026302,-0.020804,-0.004409,0.010067,-0.002168,0.093745,0.110042,-0.989496
-0.044012,0.057536,-0.213238,0.974311,-0.008804,-0.02209,-0.01147,-0.004494,0.009646,0.001249,0.093347,0.1103,-0.989505
-0.04411,0.057373,-0.213274,0.974308,-0.001585,-0.021233,-0.00214,-0.003569,0.009265,-0.001012,0.092982,0.110426,-0.989525
-0.044154,0.057045,-0.213178,0.974347,0.0258,-0.024079,0.019639,-0.006005,0.005643,0.00053,0.092339,0.110365,-0.989592
-0.044037,0.056927,-0.213045,0.974388,0.027512,-0.008687,0.022969,-0.001814,0.004247,-0.001634,0.092174,0.110073,-0.98964
-0.043785,0.056745,-0.212688,0.974488,0.022726,-0.001024,0.030299,-0.00103,0.003352,-0.002885,0.091969,0.109474,-0.989726
-0.043693,0.056759,-0.212508,0.97453,0.020834,-0.00231,0.022665,-0.00167,-0.000295,0.001828,0.092057,0.109285,-0.989739
-0.043562,0.056615,-0.212386,0.974571,0.022918,-0.009643,0.012199,-0.001352,-0.00031,0.000869,0.091847,0.108957,-0.989794
-0.043244,0.056369,-0.212205,0.974639,0.020153,-0.005098,0.004917,-0.000528,-0.003195,-0.003165,0.091526,0.108219,-0.989905
-0.043044,0.056273,-0.21218,0.974659,0.021515,-0.000503,0.007248,0.00073,-0.003197,-0.005076,0.091429,0.107788,-0.989961
-0.042817,0.056265,-0.212144,0.974677,0.023603,0.00456,0.005055,0.001291,-0.004646,-0.00514,0.091514,0.107338,-0.990002
-0.04259,0.056344,-0.212124,0.974687,0.014217,0.021376,0.005057,0.001451,-0.004177,-0.004533,0.091766,0.106928,-0.990023
-0.042377,0.05653,-0.212138,0.974682,0.010453,0.017477,-0.011487,0.004079,-0.00697,-0.003298,0.092217,0.106593,-0.990017
-0.042244,0.056677,-0.212337,0.974636,0.006564,0.023541,-0.024098,0.00711,-0.007513,-0.00337,0.092539,0.106414,-0.990006
-0.042139,0.056897,-0.212639,0.974562,0.007119,0.022509,-0.033964,0.006055,-0.00514,-0.001804,0.092978,0.106331,-0.989974
-0.041966,0.057072,-0.212991,0.974483,0.016856,0.023147,-0.034716,0.004642,-0.005141,5.9e-05,0.093354,0.106102,-0.989963
-0.041669,0.05716,-0.213323,0.974418,0.03031,0.019007,-0.027553,0.005638,-0.004854,-0.000247,0.093617,0.105593,-0.989993
-0.041208,0.057227,-0.213598,0.974373,0.046615,0.00828,-0.024075,0.005919,-0.00489,-0.001519,0.093917,0.104751,-0.990054
-0.040644,0.05724,-0.21384,0.974343,0.046714,0.015773,-0.021836,0.006535,-0.003757,-0.002876,0.094161,0.103683,-0.990143
