t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760173226.6137989,BEEP_RECOVER,reach_left,roll,1760173226.818972,1760173226.926275,2.119749086632926,7.41912180321524,112.53247025486816,189.93773492804345
1760173235.503799,BEEP_SLOUCH,reach_right,roll,1760173236.491064,1760173237.501154,1.7255452865668173,6.039408502983861,66.18991084466288,36.40378351074668
1760173240.003799,BEEP_RECOVER,reach_right,pitch,1760173241.468679,1760173242.735949,3.408786284949535,20.45271770969721,111.51645127304644,38.60340454705357
1760173251.173799,BEEP_SLOUCH,normal_slouch,roll,1760173252.33387,1760173252.999276,69.18122951451555,242.13430330080445,30.097915980426304,294.6832122440873
1760173255.673799,BEEP_RECOVER,normal_slouch,fallback,nan,nan,0.0,0.0,19.360007916411213,208.61651704587365
1760173265.3897989,BEEP_SLOUCH,fast_slouch,roll,1760173266.385813,1760173267.342127,74.8496441224191,261.9737544284668,9.099049024393171,298.0134439544091
1760173269.8897989,BEEP_RECOVER,fast_slouch,roll,1760173270.952729,1760173272.316415,1.0115735621790276,3.540507467626597,13.156529732993096,212.3359061025784
1760173280.766799,BEEP_SLOUCH,micro_slouch,pitch,1760173280.777494,1760173281.381892,1.1349614883094548,2.2699229766189095,19.960606256555824,315.26555621841374
1760173285.266799,BEEP_RECOVER,micro_slouch,roll,1760173286.597195,1760173287.895016,20.208910423264438,70.73118648142554,20.03792882700026,253.9351003671454
1760173296.3407989,BEEP_SLOUCH,lateral_left,roll,1760173297.475024,1760173298.764512,5.312552667129787,18.593934334954255,76.82995889232227,97.71902622367
1760173300.8407989,BEEP_RECOVER,lateral_left,roll,1760173302.413362,1760173303.693905,27.677975371772693,96.87291380120442,101.99866399829124,138.20243947363437
1760173310.382799,BEEP_SLOUCH,lateral_right,roll,1760173311.537502,1760173312.4497,9.88055024067871,34.58192584237548,57.532423181728454,292.82968969179666
1760173314.882799,BEEP_RECOVER,lateral_right,roll,1760173315.044809,1760173315.258636,1.169847637621152,4.094466731674032,132.64436812497678,47.28425415645127
1760173325.727799,BEEP_SLOUCH,neck_only,roll,1760173326.835193,1760173327.415818,71.09583698540393,248.83542944891377,28.569636591777,304.61297430990055
1760173330.227799,BEEP_RECOVER,neck_only,roll,1760173331.534798,1760173332.250392,10.281254855649811,35.98439199477434,10.944147977862546,217.43697463332416
1760173341.629799,BEEP_SLOUCH,reach_left,roll,1760173342.434416,1760173345.744815,4.897324675813853,17.140636365348485,95.23286213951954,303.67075215078825
1760173346.129799,BEEP_RECOVER,reach_left,roll,1760173347.674849,1760173348.486488,31.82840039226493,111.39940137292724,114.57216066178512,206.8345814641786
1760173356.4197989,BEEP_SLOUCH,reach_right,pitch,1760173357.537576,1760173358.197379,6.1443192187541475,36.86591531252488,52.04241072157404,329.5161031044489
1760173360.9197989,BEEP_RECOVER,reach_right,roll,1760173361.188066,1760173361.375832,1.538916936410325,5.386209277436137,78.78754780691429,347.26900807182807
1760173370.770799,BEEP_SLOUCH,normal_slouch,roll,1760173371.913068,1760173372.742346,69.80385791610128,244.31350270635448,30.207927489169336,295.0810219988857
1760173375.270799,BEEP_RECOVER,normal_slouch,roll,1760173376.650987,1760173377.828581,20.640836930561015,72.24292925696355,20.802542081850387,213.98118564739946
1760173386.5087988,BEEP_SLOUCH,fast_slouch,roll,1760173387.599663,1760173388.300679,67.08605756425698,234.80120147489941,21.647574201774184,302.18142798506005
1760173391.0087988,BEEP_RECOVER,fast_slouch,roll,1760173391.097591,1760173391.350781,1.4972583027203579,2.5677979891654132,29.186303753301793,214.83890497836845
1760173401.948799,BEEP_SLOUCH,micro_slouch,roll,1760173403.021313,1760173403.987714,13.559026093993866,47.45659132897853,11.573980834932634,111.03226315738648
1760173406.448799,BEEP_RECOVER,micro_slouch,fallback,nan,nan,0.0,0.0,19.570321570056336,235.8131124728094
1760173415.342799,BEEP_SLOUCH,lateral_left,pitch,1760173416.116983,1760173417.951962,1.5465756552429106,9.279453931457464,72.03170895818936,329.95292827625434
1760173419.842799,BEEP_RECOVER,lateral_left,fallback,nan,nan,0.0,0.0,112.55955066822929,197.25057732053853
1760173431.941799,BEEP_SLOUCH,lateral_right,roll,1760173432.676561,1760173434.165714,3.304417319795387,11.565460619283854,56.091174681558066,295.3661330641718
